Nome do objeto ; circunferência ; diâmetro
ring light; 83.0; 26.0
garrafa termica;21.4;6.4
Lata de Nescau;22.922;7.3
vaso; 32.5; 10.2
Copo; 18.5; 5.2
Copo de plástico;26.7;8.5
copo; 22.2; 8.3
prato; 56.52; 18
roda de skate de silicone; 18 ; 5.4
Tampa; 20.5; 6.0
Ventilador; 193 ; 61
copo;21.8;7.9
copo;29.8;9.5
caneca; 25.6; 8.2
aliança; 7.4; 3.4
Rolo de fita crepe; 33.7; 10.7
Garrafa;20.5;6.5
pote;33.2;10.4
Jarro; 47.5; 14.0
ventilador;150.0;46.0
embalagem de creme; 17.4; 5.5
Xícara; 26.0; 8.0 
tigela; 63.5; 20.3
abajur; 110; 35
Bombonierie; 47.1;15
cumbuca; 79.17; 25.2
Frasco Danone; 17.0; 4.8
Lata de Spray de Cabelo; 17  ; 5  
Pote; 31.5; 10.0
copo; 21.4; 6.8
CD;37.68;12.0 
Lata de Açúcar; 31.5; 10.0
GarrafadeVinho;24.6;7.9
Caneca de Sopa; 37.5; 12.0
copo; 26; 8.2
pote; 19.0; 6.0
Pote; 8.5; 26.5
copo grande ; 30.1 ; 9.3
pote de fita isolante; 28.0; 9.0
garrafa;23;7.32
Saboneteira;25;07
Panela; 60.0; 19.0
PortaLapis;18.4;5.5
pote de vitamina; 18.5; 6.0
Salgadinho Pringles;21.5;7.0
garrafa;  22.0; 7.0
Creme;7.8;2.5
porta-caneta; 26.0; 8.0
caneca; 26.2; 8.0
creme;19.1;5.9
caneca;30.0; 9.0
caneca; 27.3; 9.8
copo; 19; 6
garrafaagua;26.4;8
desodorante; 14.2; 4.4
desodorante natural;17.5;5.3
prato;88;28
Garrafa Refrigerante; 23.0; 8.0
Breu;14.75; 4.5
Haltere;44;14
Pote de Café; 33.6 ; 10.6 
caneca; 23; 7
copo; 30; 8.75
 Copo de plástico pequeno; 19.2; 6.2
caneca; 23.1; 7.5
ventilador;117;38
Desodorante;4.3;4.2
tampa; 4.23 ; 0.4
Pote de creme de tratamento capilar; 35.9; 5.7
Vaso pequeno de flor;20 ;5.2
CD; 37; 12
Caneca de plástico;23.56;7.5
lata de pêssego; 32.2; 10
Prato; 62.8; 20.0
Copo; 20.5; 6.0
tampa; 10.5; 3.2
lata de perfume; 21.2; 7.4
Vaso de planta;55.5;18.8
Squeeze;23.5;7.5
tampa; 29.0; 9.2
caneca; 25.4 ; 7.8
Tampa de Suco;18.0;5.0
Tampa de refrigerante; 9.5; 3
Fita durex; 28; 8.3
Caneca;25.5;8
bule;33;9.5
Garrafa térmica; 42.0; 13.1
cúpula; 38; 12.2
porta canetas; 27.0; 9.0
Tupperware; 67.0; 21.3
Bacia ; 95.5; 30  
spray glade; 18.4; 5.7 
Lixo; 56.2  ; 18  
luminária;36.5;11
cinzeiro;25.5;8.0
Caneca; 27.8; 8.9
Pote; 31.2; 9.6
CD; 37.68; 12
Pote de gel; 21.55 ; 6.85 
Detergente; 18.2; 5.8
prato;60.2;19.3
garrafa térmica; 40.84; 13.0
caneca; 26.0; 8.0
pote de creme; 23; 7 
Xícara; 22; 3
Biscoito; 18.84; 6
pote; 23.55 ; 7.5
caneca; 25.0; 7.5
porta-canetas;26;8
Lata Nescau;22.922;7.3
caneca; 21.2; 6.0
quadro;56;17.8
Panela;38.0;12.2
Vaso; 55.5; 17.1
Copo; 15.3; 8.1
Inseticida; 18.4; 5.6
PoteRação;30.5;9.7
Luminária;35;11
panela; 71.0; 22.6
Fita de polietileno; 29.05; 09.00
garrafa; 29.5; 8.0
desodorante;14.3;4.3
Garrafinha d'água;21.98;7.0
branquinho; 8.6; 2.6
Baleiro; 38; 12
Pote de arroz;61.3;19.6
durex; 12.5; 3.9
bola; 69.08; 22
boia de rede de cerco; 19; 6.2
Cofre; 9.3; 2.7 
Copo; 24.5 ; 7.8
caneca;23.7;8.6
vela;22;7
copo; 17.0; 5.5
lata de refri; 17; 5.5
Lata de repelente; 18.4; 5.8
Copo;18.6;5.3
copo;19.7;6.2
Saboneteira; 24.5;7.8
prato;82.0;26.0
garrafa; 24.2; 7.5
Álcool; 23.5; 8.0
bandeja; 110.0; 35.0
bowl; 42.5; 13.5
tampa de panela; 69.708;22.2
abajur; 53.4; 17.0
Desodorante; 17.0; 5.0
Panela Cassarola 4L; 77.5  ; 25  
Copo; 23.0; 7.3
vaso; 61.4; 19.5
Prato;62.80;20 
Pote de geleia; 22.0; 7.0 
TintaAcrilica;11;3.3
Canecão; 46.5; 15.0
tampa; 25.5; 8
caneca; 27.0; 8.5
Vaso; 8.0; 25.9
cola ; 5.6 ; 2.7
álcool em gel; 17.6; 5.1
creme;21;6.68
Vanish;33;11
CD; 38.0; 12.0
Canetao;4.2;1.0
xícara de café; 16.5; 5.0
Espuma de barbear;18.0;5.3
cola; 15.7; 2.5
Garrafa;18.3;6
álcool em gel; 25.3; 7.5
desodorante; 16.9; 5.9
garrafa;27.5;8.5
desodorante; 17.0; 5.0
