,,,,Indicadores de Liquidez,,
,SETOR ECONÔMICO,Empresa,Descrição,Índice pré adoção,Índice pós adoção,Variação
,"Petróleo, Gás e Biocombustíveis",3R PETROLEUM,Liquidez corrente,"4,76014932337844","3,72299270072993","-1,03715662264851"
,Comunicações,ALGAR TELEC,Liquidez corrente,"1,0744464908008","0,975775945292499","-0,098670545508305"
,Saúde,ALLIAR,Liquidez corrente,"1,0389904739626","1,0389904739626",0
,Consumo Cíclico,ALPARGATAS  ,Liquidez corrente,"2,06044445977527","2,06044445977527",0
,Utilidade Pública,ALUPAR,Liquidez corrente,"3,2614032815707","3,2614032815707",0
,Consumo não Cíclico,AMBEV S/A,Liquidez corrente,"1,00478575852452","1,00478575852452",0
,Utilidade Pública,AMBIPAR,Liquidez corrente,"1,14868825392813","1,14868825392813",0
,Utilidade Pública,AMPLA ENERG ,Liquidez corrente,"0,645941534077899","0,645941534077899",0
,Consumo Cíclico,ANIMA,Liquidez corrente,"1,76263267438747","1,76263267438747",0
,Consumo Cíclico,AREZZO CO   ,Liquidez corrente,"3,29049314351144","3,29049314351144",0
,Bens Industriais,ATMASA,Liquidez corrente,"0,955318697273626","0,955318697273626",0
,Bens Industriais,AZUL,Liquidez corrente,"0,868123449206442","0,672110900889665","-0,196012548316777"
,Consumo Cíclico,B2W DIGITAL,Liquidez corrente,"2,19254687644286","2,14832898456452","-0,044217891878336"
,Consumo Cíclico,BAHEMA      ,Liquidez corrente,"1,05027567006933","1,05027567006933",0
,Bens Industriais,BBMLOGISTICA,Liquidez corrente,"1,30718548414916","1,30718548414916",0
,Consumo não Cíclico,BIOSEV,Liquidez corrente,"1,57736736940301","1,57736736940301",0
,Consumo Cíclico,BK BRASIL,Liquidez corrente,"1,36693208821445","1,36693208821445",0
,Consumo não Cíclico,BOMBRIL     ,Liquidez corrente,"0,544034619679861","0,54185679609307","-0,002177823586791"
,Consumo não Cíclico,BRASILAGRO  ,Liquidez corrente,"2,18191809441939","2,18191809441939",0
,Materiais Básicos,BRASKEM     ,Liquidez corrente,"0,925062586168187","0,925062586168187",0
,Consumo não Cíclico,BRF SA   ,Liquidez corrente,"1,31350492523798","1,31350492523798",0
,Consumo não Cíclico,CAMIL,Liquidez corrente,"2,24225661619522","2,24225661619522",0
,Consumo não Cíclico,CARREFOUR BR,Liquidez corrente,"1,06879254747402","1,05949209731842","-0,009300450155608"
,Bens Industriais,CCR SA      ,Liquidez corrente,"0,937712535584134","0,937712535584134",0
,Consumo Cíclico,CEA MODAS,Liquidez corrente,"1,25456210844379","1,25456210844379",0
,Consumo Cíclico,CEDRO       ,Liquidez corrente,"1,03858146117857","1,03858146117857",0
,Utilidade Pública,CEEE-D      ,Liquidez corrente,"0,41214795703841","0,41214795703841",0
,Utilidade Pública,CEG         ,Liquidez corrente,"0,828298721107591","0,823704224004555","-0,004594497103036"
,Utilidade Pública,CEMIG       ,Liquidez corrente,"1,18819219833951","1,18819219833951",0
,Consumo Cíclico,CENTAURO,Liquidez corrente,"0,879126576802394","0,879126576802394",0
,Comunicações,CINESYSTEM,Liquidez corrente,"0,285023555665757","0,230457707652519","-0,054565848013238"
,Consumo Cíclico,COGNA ON,Liquidez corrente,"2,17506439300626","2,17506439300626",0
,Utilidade Pública,COPASA      ,Liquidez corrente,"1,38571574522413","1,38571574522413",0
,Utilidade Pública,COPEL       ,Liquidez corrente,"0,997420805680082","0,997420805680082",0
,"Petróleo, Gás e Biocombustíveis",COSAN       ,Liquidez corrente,"1,90013289209552","1,8964767234705","-0,003656168625026"
,Materiais Básicos,CRISTAL,Liquidez corrente,"9,41420981539847","9,41420981539847",0
,Consumo Cíclico,CRUZEIRO EDU,Liquidez corrente,"0,873280523942947","0,781884691356325","-0,091395832586622"
,Bens Industriais,CSU CARDSYST,Liquidez corrente,"1,19284939270402","1,19284939270402",0
,Consumo Cíclico,CURY S/A,Liquidez corrente,"1,8779474621368","1,8779474621368",0
,Consumo Cíclico,CVC BRASIL,Liquidez corrente,"1,16396663155963","1,16396663155963",0
,Consumo Cíclico,CYRELA REALT,Liquidez corrente,"3,52368514257992","3,52368514257992",0
,Saúde,D1000VFARMA,Liquidez corrente,"0,768732641340677","0,630416372107388","-0,138316269233289"
,Saúde,DASA        ,Liquidez corrente,"1,62756014745484","1,46344592960675","-0,164114217848091"
,Consumo Cíclico,DIRECIONAL  ,Liquidez corrente,"2,9458750677216","2,9458750677216",0
,"Petróleo, Gás e Biocombustíveis",DOMMO,Liquidez corrente,"1,01283012401739","0,583520836504091","-0,429309287513302"
,Bens Industriais,DTCOM-DIRECT,Liquidez corrente,"0,618454305024978","0,591778202676864","-0,026676102348114"
,Materiais Básicos,DURATEX     ,Liquidez corrente,"1,76200286990011","1,76200286990011",0
,Utilidade Pública,ELETROBRAS  ,Liquidez corrente,"1,28259364240542","1,28259364240542",0
,Bens Industriais,EMBRAER     ,Liquidez corrente,"3,72897274390158","3,72897274390158",0
,"Petróleo, Gás e Biocombustíveis",ENAUTA PART,Liquidez corrente,"9,93211370223629","9,93211370223629",0
,Utilidade Pública,ENERGIAS BR ,Liquidez corrente,"1,53633748709179","1,53490299862208","-0,001434488469717"
,Utilidade Pública,ENERGISA    ,Liquidez corrente,"1,46423375733666","1,46423375733666",0
,Utilidade Pública,ENEVA,Liquidez corrente,"2,19320285584676","2,19320285584676",0
,Utilidade Pública,ENGIE BRASIL,Liquidez corrente,"1,09265990785709","1,08870352761297","-0,003956380244116"
,Utilidade Pública,EQUATORIAL  ,Liquidez corrente,"1,46367617950125","1,46367617950125",0
,Consumo Cíclico,ESPACOLASER,Liquidez corrente,"1,02561709859719","1,02561709859719",0
,Bens Industriais,ESTAPAR,Liquidez corrente,"0,455676570115138","0,302529774533933","-0,153146795581205"
,Bens Industriais,ETERNIT     ,Liquidez corrente,"1,14456671951437","1,14456671951437",0
,Materiais Básicos,EUCATEX     ,Liquidez corrente,"0,019385699899295","0,019385699899295",0
,Consumo não Cíclico,EXCELSIOR   ,Liquidez corrente,"1,53840145069047","1,53840145069047",0
,Consumo Cíclico,EZTEC       ,Liquidez corrente,"8,0481045853964","8,0481045853964",0
,Saúde,FLEURY      ,Liquidez corrente,"2,2958315991676","2,2958315991676",0
,Bens Industriais,FLEX S/A,Liquidez corrente,"1,05559678658386","1,00887885066483","-0,046717935919032"
,Bens Industriais,FRAS-LE     ,Liquidez corrente,"2,09598094048726","2,04661818619536","-0,049362754291896"
,Consumo Cíclico,GAFISA      ,Liquidez corrente,"1,62016044041713","1,61841899064831","-0,001741449768815"
,Materiais Básicos,GERDAU      ,Liquidez corrente,"2,05815631308241","2,05815631308241",0
,Bens Industriais,GOL         ,Liquidez corrente,"0,459802687459135","0,459802687459135",0
,Materiais Básicos,GPC PART    ,Liquidez corrente,"1,38046575559726","1,36189010874384","-0,018575646853422"
,Consumo Cíclico,GRENDENE    ,Liquidez corrente,"7,98648438713687","7,98648438713687",0
,Consumo não Cíclico,GRUPO MATEUS,Liquidez corrente,"2,30807383703402","2,19200790654273","-0,116065930491291"
,Consumo não Cíclico,GRUPO NATURA      ,Liquidez corrente,"1,41360350751421","1,41360350751421",0
,Consumo Cíclico,GRUPO SOMA,Liquidez corrente,"1,29712","1,29712",0
,Consumo Cíclico,GUARARAPES  ,Liquidez corrente,"1,65596961188093","1,65596961188093",0
,Saúde,HAPVIDA,Liquidez corrente,"1,29211055032122","1,25556364638274","-0,036546903938472"
,Consumo Cíclico,HELBOR      ,Liquidez corrente,"1,96928878989465","1,96928878989465",0
,Bens Industriais,HIDROVIAS,Liquidez corrente,"3,52012812185459","3,52012812185459",0
,Saúde,HYPERA,Liquidez corrente,"3,02512342339656","3,02512342339656",0
,Utilidade Pública,IGUA SA  ,Liquidez corrente,"1,86352168850462","1,8393898061026","-0,024131882402025"
,Bens Industriais,INDS ROMI   ,Liquidez corrente,"1,92240704393084","1,92240704393084",0
,Consumo Cíclico,INTER SA ,Liquidez corrente,"1,79015242620675","1,79015242620675",0
,Saúde,INTERMEDICA,Liquidez corrente,"1,20940380489999","1,19013937047461","-0,019264434425384"
,Consumo Cíclico,IOCHP-MAXION,Liquidez corrente,"1,08031475592375","1,08031475592375",0
,Materiais Básicos,IRANI ,Liquidez corrente,"0,851753862286068","0,851753862286068",0
,Consumo não Cíclico,JALLESMACHAD,Liquidez corrente,"2,58203614888919","2,13587713686074","-0,44615901202845"
,Consumo não Cíclico,JBS         ,Liquidez corrente,"1,7081767485509","1,7081767485509",0
,Consumo Cíclico,JHSF PART   ,Liquidez corrente,"0,966061375922749","0,957837287848993","-0,008224088073755"
,Consumo não Cíclico,JOSAPAR     ,Liquidez corrente,"2,24988670220608","2,24526489007716","-0,00462181212892"
,Bens Industriais,JSL         ,Liquidez corrente,"1,42645556047762","1,34014397284415","-0,086311587633473"
,Consumo Cíclico,KARSTEN     ,Liquidez corrente,"0,350312321043126","0,350312321043126",0
,Bens Industriais,KEPLER WEBER,Liquidez corrente,"1,54773126599811","1,51343616445961","-0,034295101538501"
,Materiais Básicos,KLABIN S/A  ,Liquidez corrente,"2,92907454488776","2,85931189196147","-0,069762652926287"
,Utilidade Pública,LIGHT S/A   ,Liquidez corrente,"1,06762662764481","1,06762662764481",0
,Tecnologia da Informação,LINX,Liquidez corrente,"3,16494789306751","3,02823998486122","-0,136707908206292"
,Consumo Cíclico,LOCALIZA    ,Liquidez corrente,"1,10612684913458","1,10612684913458",0
,Tecnologia da Informação,LOCAWEB,Liquidez corrente,"0,654733017499262","0,654733017499262",0
,Bens Industriais,LOG-IN      ,Liquidez corrente,"1,00685381425885","1,00685381425885",0
,Consumo Cíclico,LOJAS MARISA,Liquidez corrente,"1,44146547404417","1,44146547404417",0
,Consumo Cíclico,LOJAS RENNER,Liquidez corrente,"1,37138024052142","1,37138024052142",0
,Consumo não Cíclico,M.DIASBRANCO,Liquidez corrente,"1,91223425435069","1,91223425435069",0
,Consumo Cíclico,MAGAZ LUIZA ,Liquidez corrente,"1,18999227628411","1,14236875672517","-0,047623519558938"
,Materiais Básicos,MANGELS INDL,Liquidez corrente,"2,24202763365009","2,21864859017812","-0,02337904347197"
,Bens Industriais,MARCOPOLO   ,Liquidez corrente,"1,67411004103527","1,67411004103527",0
,Consumo não Cíclico,MARFRIG     ,Liquidez corrente,"1,36044719241209","1,36044719241209",0
,Materiais Básicos,METAL IGUACU,Liquidez corrente,"0,760626586214431","0,732317102771979","-0,028309483442452"
,Consumo Cíclico,METAL LEVE  ,Liquidez corrente,"1,97043454100515","1,97043454100515",0
,Bens Industriais,METALFRIO   ,Liquidez corrente,"1,09374759619404","1,09374759619404",0
,Bens Industriais,MILLS       ,Liquidez corrente,"1,25857778312094","1,25857778312094",0
,Bens Industriais,MINASMAQUINA,Liquidez corrente,"2,55193204389536","2,55193204389536",0
,Consumo não Cíclico,MINERVA     ,Liquidez corrente,"1,35963483400764","1,35806374297458","-0,001571091033062"
,Consumo Cíclico,MITRE REALTY,Liquidez corrente,"3,28575779389778","3,28575779389778",0
,Tecnologia da Informação,MOBLY,Liquidez corrente,"0,795905723905724","0,795905723905724",0
,Consumo Cíclico,MOURA DUBEUX,Liquidez corrente,"0,680127665844741","0,680127665844741",0
