 Sigla , Data de abertura , SHOPPING/STREET , Salão de Vendas - m² , Cidade , Local , Estado , Região 
 IBI ,31/8/1976, SHOPPING MALL , 2.705 , SÃO PAULO , SHOPPING IBIRAPUERA , SP , Sudeste 
 CAC ,15/9/1977, STREET , 2.256 , CAMPINAS , CAMPINAS - CENTRO , SP , Sudeste 
 CBC ,13/10/1977, STREET , 3.652 , CURITIBA , CURITIBA-CENTRO , PR , Sul 
 PAC ,31/8/1978, STREET , 3.366 , PORTO ALEGRE , PORTO ALEGRE , RS , Sul 
 COP ,28/8/1979, STREET , 2.173 , RIO DE JANEIRO , COPACABANA , RJ , Sudeste 
 BHS ,13/9/1979, SHOPPING MALL , 2.030 , BELO HORIZONTE , BH SHOPPING , MG , Sudeste 
 STA ,17/4/1980, STREET , 1.882 , SANTO ANDRE , SANTO ANDRE CENTRO , SP , Sudeste 
 CAS ,7/5/1980, SHOPPING MALL , 2.034 , CAMPINAS , SHOPPING IGUATEMI CAMPINAS , SP , Sudeste 
 RAO ,6/5/1981, SHOPPING MALL , 2.118 , RIBEIRÃO PRETO , RIBEIRAO SHOPPING , SP , Sudeste 
 TIJ ,27/8/1981, STREET , 2.737 , RIO DE JANEIRO , TIJUCA , RJ , Sudeste 
 GYN ,13/10/1981, SHOPPING MALL , 1.930 , GOIANIA , FLAMBOYANT SHOPPING CENTER , GO , Centro oeste 
 BAR ,27/10/1981, SHOPPING MALL , 3.490 , RIO DE JANEIRO , BARRA SHOPPING , RJ , Sudeste 
 MRB ,3/5/1982, SHOPPING MALL , 3.164 , SÃO PAULO , SHOPPING MORUMBI , SP , Sudeste 
 BHC ,31/8/1982, STREET , 3.348 , BELO HORIZONTE , BELO HORIZONTE , MG , Sudeste 
 STS ,16/9/1982, STREET , 2.678 , SANTOS , CONJTO ATLANTICO (SHOPPING) , SP , Sudeste 
 PAS ,14/4/1983, SHOPPING MALL , 2.642 , CAXIAS DO SUL , SHOPPING CENTER IGUATEMI , RS , Sul 
 BSC ,26/4/1983, SHOPPING MALL , 2.014 , BRASILIA , SHOPPING CONJUNTO NACIONAL , DF , Centro oeste 
 BSP ,8/11/1983, SHOPPING MALL , 2.995 , BRASILIA , PARK SHOPPING , DF , Centro oeste 
 SCN ,7/4/1984, SHOPPING MALL , 3.469 , SÃO PAULO , SHOPPING CENTER NORTE , SP , Sudeste 
 SVI ,10/10/1985, SHOPPING MALL , 4.877 , SALVADOR , SHOPPING IGUATEMI BAHIA , BA , Nordeste 
 OUV ,12/11/1985, STREET , 3.095 , RIO DE JANEIRO , OUVIDOR , RJ , Sudeste 
 MDU ,14/11/1985, STREET , 3.357 , RIO DE JANEIRO , MADUREIRA , RJ , Sudeste 
 SVP ,20/11/1985, SHOPPING MALL , 4.305 , SALVADOR , SHOPPING PIEDADE , BA , Nordeste 
 RES ,20/3/1986, SHOPPING MALL , 3.143 , RECIFE , SHOPPING RECIFE , PE , Nordeste 
